Date,X,Y,UT1-UTC,X_Variation,Y_Variation,Delta_T,X+Y_Variation
2023-11-18,248.3,240.53,11.075,-1.8599999999999852,-2.7700000000000102,0.26699999999999946,4.6299999999999955
2023-11-17,250.16,243.3,10.808,-2.3600000000000136,-2.0,0.3000000000000007,4.360000000000014
2023-11-16,252.52,245.3,10.508,-2.119999999999976,-1.5300000000000011,0.16699999999999982,3.6499999999999773
2023-11-15,254.64,246.83,10.341,-1.8700000000000045,-1.3799999999999955,-0.03300000000000125,3.25
2023-11-14,256.51,248.21,10.374,-1.6399999999999864,-1.579999999999984,-0.1899999999999995,3.2199999999999704
2023-11-13,258.15,249.79,10.564,-1.740000000000009,-1.5100000000000193,-0.3390000000000004,3.2500000000000284
2023-11-12,259.89,251.3,10.903,-1.7300000000000182,-1.75,-0.520999999999999,3.480000000000018
2023-11-11,261.62,253.05,11.424,-1.9499999999999886,-1.3199999999999932,-0.5419999999999998,3.269999999999982
2023-11-10,263.57,254.37,11.966,-1.5199999999999818,-1.240000000000009,-0.4800000000000004,2.759999999999991
2023-11-09,265.09,255.61,12.446,-1.990000000000009,-1.7899999999999636,-0.3260000000000005,3.7799999999999727
2023-11-08,267.08,257.4,12.772,-1.2100000000000364,-1.0400000000000205,-0.26500000000000057,2.250000000000057
2023-11-07,268.29,258.44,13.037,-0.7799999999999727,-1.5500000000000114,-0.08999999999999986,2.329999999999984
2023-11-06,269.07,259.99,13.127,-1.0900000000000318,-1.1999999999999886,0.11100000000000065,2.2900000000000205
2023-11-05,270.16,261.19,13.016,-0.589999999999975,-1.3999999999999773,0.3439999999999994,1.9899999999999523
2023-11-04,270.75,262.59,12.672,-0.9700000000000273,-1.7800000000000296,0.46300000000000097,2.750000000000057
2023-11-03,271.72,264.37,12.209,-1.2299999999999613,-1.7300000000000182,0.48499999999999943,2.9599999999999795
2023-11-02,272.95,266.1,11.724,-1.5400000000000205,-2.569999999999993,0.3979999999999997,4.110000000000014
2023-11-01,274.49,268.67,11.326,-1.9300000000000068,-1.7199999999999704,0.29900000000000126,3.6499999999999773
2023-10-31,276.42,270.39,11.027,-2.0500000000000114,-1.2900000000000205,0.1609999999999996,3.340000000000032
2023-10-30,278.47,271.68,10.866,-1.4399999999999977,-0.9900000000000091,-0.11400000000000077,2.430000000000007
2023-10-29,279.91,272.67,10.98,-0.06999999999999318,-1.3199999999999932,-0.4629999999999992,1.3899999999999864
2023-10-28,279.98,273.99,11.443,0.160000000000025,-1.599999999999966,-0.7100000000000009,1.759999999999991
2023-10-27,279.82,275.59,12.153,-0.3199999999999932,-2.0,-0.815999999999999,2.319999999999993
2023-10-26,280.14,277.59,12.969,-0.4600000000000364,-2.1200000000000045,-0.7460000000000004,2.580000000000041
2023-10-25,280.6,279.71,13.715,-0.7299999999999613,-2.650000000000034,-0.48300000000000054,3.3799999999999955
2023-10-24,281.33,282.36,14.198,-0.4600000000000364,-2.769999999999982,-0.2240000000000002,3.230000000000018
2023-10-23,281.79,285.13,14.422,-0.8499999999999659,-2.4499999999999886,0.0129999999999999,3.2999999999999545
2023-10-22,282.64,287.58,14.409,-1.0,-1.6899999999999977,0.19000000000000128,2.6899999999999977
2023-10-21,283.64,289.27,14.219,0.0,0.0,0.0,0.0
