Date,Delta_T,moon_deldot,sun_deldot,zero
1972-12-17,-3.4039,-0.0472249,-0.1571731,0
1972-12-18,-3.208,-0.031514,-0.1466184,0
1972-12-19,-3.0219,-0.0116681,-0.1355975,0
1972-12-20,-2.929,0.0103169,-0.1242781,0
1972-12-21,-2.9589,0.0318885,-0.1128625,0
1972-12-22,-3.098,0.0505058,-0.101554,0
1972-12-23,-3.2849,0.0641978,-0.090524,0
1972-12-24,-3.485,0.0718975,-0.079892,0
1972-12-25,-3.5879,0.073481,-0.0697224,0
1972-12-26,-3.633,0.0695828,-0.060034,0
1972-12-27,-3.5719,0.0613199,-0.0508155,0
1972-12-28,-3.442,0.0500267,-0.0420384,0
1972-12-29,-3.2929,0.0370503,-0.0336673,0
1972-12-30,-3.125,0.0236102,-0.0256647,0
1972-12-31,-2.9529,0.0107102,-0.0179927,0
1973-01-01,-2.8369,-0.000913,-0.0106125,0
1973-01-02,-2.736,-0.0108141,-0.0034821,0
1973-01-03,-2.7059,-0.0188397,0.0034459,0
1973-01-04,-2.751,-0.0251001,0.0102266,0
1973-01-05,-2.8599,-0.0299118,0.0169241,0
1973-01-06,-3.011,-0.0337081,0.0236107,0
1973-01-07,-3.2019,-0.0369271,0.0303663,0
1973-01-08,-3.419,-0.0398907,0.0372757,0
1973-01-09,-3.592,-0.0426958,0.0444257,0
1973-01-10,-3.6969,-0.045141,0.051902,0
1973-01-11,-3.725,-0.046709,0.0597855,0
1973-01-12,-3.6669,-0.0466203,0.0681475,0
1973-01-13,-3.518,-0.0439676,0.0770432,0
1973-01-14,-3.3139,-0.0379258,0.0865025,0
1973-01-15,-3.092,-0.0280141,0.096519,0
1973-01-16,-2.9399,-0.0143476,0.107039,0
1973-01-17,-2.89,0.0022116,0.1179567,0
1973-01-18,-2.9459,0.0200976,0.1291201,0
1973-01-19,-3.097,0.0373075,0.1403488,0
1973-01-20,-3.2639,0.0518207,0.151461,0
1973-01-21,-3.408,0.0620171,0.1622983,0
1973-01-22,-3.4679,0.0669497,0.172743,0
1973-01-23,-3.445,0.0664139,0.1827213,0
1973-01-24,-3.3379,0.0608493,0.1921978,0
1973-01-25,-3.188,0.0511573,0.2011646,0
1973-01-26,-3.0169,0.0385065,0.2096302,0
1973-01-27,-2.852,0.0241679,0.2176111,0
1973-01-28,-2.7269,0.0093892,0.2251272,0
1973-01-29,-2.637,-0.0046978,0.2321993,0
1973-01-30,-2.613,-0.0171477,0.2388502,0
1973-01-31,-2.6569,-0.0272584,0.2451073,0
1973-02-01,-2.758,-0.0346153,0.2510063,0
1973-02-02,-2.9499,-0.0391167,0.2565947,0
1973-02-03,-3.161,-0.0409699,0.2619357,0
1973-02-04,-3.3799,-0.0406431,0.2671087,0
1973-02-05,-3.59,-0.0387703,0.2722087,0
1973-02-06,-3.7439,-0.0360153,0.2773417,0
1973-02-07,-3.807,-0.0329214,0.2826184,0
1973-02-08,-3.7799,-0.0297826,0.288146,0
1973-02-09,-3.652,-0.0265723,0.2940208,0
1973-02-10,-3.494,-0.0229555,0.3003203,0
1973-02-11,-3.3019,-0.0183899,0.3070962,0
1973-02-12,-3.179,-0.0123008,0.3143684,0
1973-02-13,-3.1379,-0.0042935,0.3221187,0
1973-02-14,-3.205,0.0056507,0.3302881,0
1973-02-15,-3.3539,0.0170573,0.338777,0
1973-02-16,-3.567,0.0289695,0.3474533,0
1973-02-17,-3.753,0.0401008,0.3561658,0
1973-02-18,-3.8739,0.0490865,0.3647623,0
1973-02-19,-3.889,0.054753,0.3731065,0
1973-02-20,-3.8169,0.0563235,0.3810891,0
1973-02-21,-3.657,0.053515,0.3886322,0
1973-02-22,-3.4499,0.0465301,0.395687,0
1973-02-23,-3.231,0.0359778,0.4022269,0
1973-02-24,-3.042,0.0227644,0.4082403,0
1973-02-25,-2.8709,0.0079834,0.4137242,0
1973-02-26,-2.774,-0.0071831,0.4186794,0
1973-02-27,-2.7189,-0.0215506,0.4231087,0
1973-02-28,-2.774,-0.0340127,0.4270175,0
1973-03-01,-2.8829,-0.0436245,0.4304165,0
1973-03-02,-3.045,-0.0496906,0.4333266,0
1973-03-03,-3.238,-0.0518522,0.4357853,0
1973-03-04,-3.4399,-0.0501563,0.4378522,0
1973-03-05,-3.6,-0.0450772,0.4396135,0
1973-03-06,-3.6949,-0.0374625,0.441181,0
1973-03-07,-3.693,-0.0283918,0.4426863,0
1973-03-08,-3.589,-0.0189696,0.444269,0
1973-03-09,-3.4429,-0.0101035,0.4460623,0
1973-03-10,-3.263,-0.0023385,0.4481786,0
1973-03-11,-3.1319,0.004203,0.4506994,0
1973-03-12,-3.086,0.0097627,0.4536688,0
1973-03-13,-3.148,0.0147938,0.4570926,0
1973-03-14,-3.3019,0.0197648,0.4609393,0
1973-03-15,-3.536,0.0249741,0.4651443,0
1973-03-16,-3.7859,0.0304238,0.4696156,0
1973-03-17,-3.98,0.0357799,0.474241,0
1973-03-18,-4.116,0.040428,0.4788983,0
1973-03-19,-4.1309,0.0436005,0.4834651,0
1973-03-20,-4.051,0.0445399,0.4878286,0
1973-03-21,-3.8949,0.0426512,0.4918924,0
1973-03-22,-3.72,0.0376121,0.4955802,0
1973-03-23,-3.544,0.0294267,0.4988345,0
1973-03-24,-3.3679,0.0184283,0.5016146,0
1973-03-25,-3.249,0.0052463,0.5038916,0
1973-03-26,-3.202,-0.0092457,0.5056439,0
1973-03-27,-3.2089,-0.023992,0.5068538,0
1973-03-28,-3.28,-0.0378221,0.5075057,0
1973-03-29,-3.4069,-0.0495309,0.5075864,0
1973-03-30,-3.585,-0.0579771,0.5070879,0
1973-03-31,-3.771,-0.0622096,0.5060143,0
1973-04-01,-3.9389,-0.061618,0.5043892,0
1973-04-02,-4.06,-0.0560857,0.5022663,0
1973-04-03,-4.099,-0.0461007,0.499736,0
1973-04-04,-4.0029,-0.032761,0.496927,0
1973-04-05,-3.823,-0.0176277,0.4939977,0
1973-04-06,-3.595,-0.0024335,0.4911185,0
1973-04-07,-3.3759,0.0112716,0.4884488,0
1973-04-08,-3.224,0.0224162,0.4861156,0
1973-04-09,-3.2009,0.0305468,0.4842014,0
1973-04-10,-3.278,0.0357864,0.482741,0
1973-04-11,-3.411,0.0386609,0.4817267,0
1973-04-12,-3.5719,0.0398687,0.4811166,0
1973-04-13,-3.707,0.0400666,0.4808445,0
1973-04-14,-3.782,0.0397136,0.4808267,0
1973-04-15,-3.7709,0.0389913,0.4809699,0
1973-04-16,-3.701,0.0378017,0.481176,0
1973-04-17,-3.56,0.035827,0.4813474,0
1973-04-18,-3.3819,0.0326313,0.4813919,0
1973-04-19,-3.207,0.0277784,0.4812259,0
1973-04-20,-3.035,0.0209411,0.4807767,0
1973-04-21,-2.9119,0.0119874,0.4799832,0
1973-04-22,-2.847,0.0010347,0.4787944,0
1973-04-23,-2.845,-0.0115274,0.4771675,0
1973-04-24,-2.9009,-0.0250391,0.475065,0
1973-04-25,-3.014,-0.0385948,0.4724523,0
1973-04-26,-3.177,-0.0510873,0.4692959,0
1973-04-27,-3.3449,-0.0612781,0.4655646,0
1973-04-28,-3.544,-0.0679048,0.4612321,0
1973-04-29,-3.7,-0.0698377,0.4562849,0
1973-04-30,-3.7969,-0.0662871,0.4507325,0
1973-05-01,-3.797,-0.0570382,0.444621,0
1973-05-02,-3.702,-0.0426466,0.4380436,0
1973-05-03,-3.5489,-0.0244942,0.4311435,0
1973-05-04,-3.372,-0.0046188,0.4241032,0
1973-05-05,-3.219,0.0146841,0.4171193,0
1973-05-06,-3.1869,0.0313617,0.4103718,0
1973-05-07,-3.25,0.0440145,0.4039973,0
